music_id,music_name,singer,comment_num
22072743,Nothing Compares 2 U,Sinéad O'Connor,2453
515816187,Body,Loud Luxury/Brando,6734
1301574653,Fire,Ødyssey/Breana Marin,1274
1326170217,Return To The Wild,Tobu,3760
1300603768,Is It Any Wonder? (Live from Boston, MA),Durand Jones &amp; The Indications,79
28597597,Heart Of Glass,Blondie,132
1419182711,LOVE ME,Jonny Koch/Annie Sollange,82
34468798,Spring In My Step,Silent Partner,16715
4017240,Intro: The Dawn,Dreamtale,141353
1306597180,Be Somebody,Steve Aoki/Nicky Romero/Kiiara,1126
16846088,Journey,Capo Productions,57965
1333199956,Hope,The Chainsmokers/Winona Oak,8621
29553031,Sky (Radio Edit),Steerner/Martell,69418
16468497,A Dead Leaf Dance,As the Stars Fall,17360
32166628,Summertime,K-391,66711
1369601580,祝你爱我到天荒地老,颜人中/VaVa毛衍七,53984
26464078,Waiting For Sunrise,April Rain,11455
38019092,Lifeline,Zeraphym 六翼使徒,271282
33937527,Pneumatic Tokyo,EnV,107798
34040716,Visions,Acreix,76421
29017116,Playground Hope,GrimLake,5840
1309821,I'm Sorry, I'm Lost,Epigram,3641
1346492,(un)told Prejudices,French Teen Idol,4607
496902063,Blessed,Daniel Caesar,548
33419441,PLEASE,Atom Chanakan,963
31673854,无人不冤 有情皆孽,信徒,12013
28404190,めまい [Vertigo],豊平区民,345
477936528,Round &amp; Round,The Spacies,808
516653239,My,Aso,132
4109274,Lullabye For Ian,Hypomanie,10948
530995387,journey.,korou.,180
424496769,再一起,余佳运,24013
1294077233,Escape,Moving and Cut,67
1390052173,Kitip Kalding,Reyimjan-Abdukeyum,29
4438212,红莓花儿开,The Red Army Choir,2185
1429908231,Baby, До свидания (达尼亚) (Live),周深,30644
442869386,Baby ，До свидания,朴树,47798
1429908226,月牙湾 (Live),袁娅维,11223
1432428515,玉 (Live),太一,22487
1401754310,玉,太一,10285
547698618,存·不存在,袁娅维,2947
1330348068,起风了,买辣椒也用券,334097
1432427847,Qui Con Me (你的色彩) (Live),声入人心男团 Super Vocal,18764
1349292048,心如止水,Ice Paper,161518
1432427954,存·不存在 (Live),袁娅维,4694
1359205345,Lost,ASC,505
1368934278,你笑起来真好看,李昕融/樊桐舟/李凯稠,23608
1376142151,无名之辈,陈雪燃,115235
543986567,IF,Ken Arai,2627
190072,黄昏,周传雄,90504
29759733,可乐,赵紫骅,564794
1390397310,馬と鹿,米津玄師,8280
28314062,我可以抱你吗,张惠妹,11001
1371476666,全世界的人都疯了,王子明,344
465892666,人  類  和  人  類  真  的  很  容  易  失  散  。,三 角 測 距,13851
431357712,你在终点等我,王菲,122194
533788125,DJ Mr.Zi - 你又知道不知道我一直在骗你（DJ Mr.Zi remix）,DJ Mr.Zi,107
307525,独角戏,许茹芸,27891
26820639,Without Love,Ronnie Taylor,2
1420874358,It's All About You,Munya,3
28190492,矜持,姚贝娜,16539
1333128474,London,Mokita,2659
1318620393,With You,Mokita,2936
483671599,追光者,岑宁儿,283732
